iris-simulated-x
Budget : 0.4
Similarity Threshold : 0.9
Weight Threshold : 0.7


Number of classes : 3


MAPAL RESULTS

     index  train-micro-misclf-rate  test-micro-misclf-rate  train-macro-misclf-rate  test-macro-misclf-rate  n-labeled-samples  n-true-labels-0  n-false-labels-0  n-true-labels-1  n-false-labels-1  n-true-labels-2  n-false-labels-2  n-true-labels-3  n-false-labels-3  n-true-labels-4  n-false-labels-4  n-true-labels  n-false-labels     times
Annotator Model                                1.00                            1.000000                                  0.783333                                  0.765105                                    0.966667                                    0.967033
W Optimal                                      0.75                            0.555556                                  0.650000                                  0.551913                                    0.633333                                    0.612434
Majority                                       1.00                            1.000000                                  0.783333                                  0.765105                                    0.833333                                    0.830556
True Labels                                    1.00                            1.000000                                  0.783333                                  0.765105                                    0.966667                                    0.967460


KNOWLEDGE BASE ANNOTATOR METRIC

                  Annotator Accuracy after Warmup on Boot Data  Annotator F1 Score after Warmup on Boot Data  Annotator Accuracy after Training  Annotator F1 Score after Training
Weighted Average                                          0.75                                      0.555556                           0.745455                           0.712651
Maximum Index                                             1.00                                      1.000000                           0.745455                           0.711643

WITHOUT KNOWLEDGE BASE CLASSIFIER METRIC

                 After Warmup Accuracy on Boot Data After Warmup F1 Score on Boot Data  After Warmup Accuracy on Validation Data                      After Warmup F1 Score on Validation Data  After Training Accuracy on Validation Data                    After Training F1 Score on Validation Data
Annotator Model                                1.00                    [1.0, 1.0, 1.0]                                  0.783333  [0.9743589743589743, 0.5517241379310345, 0.7692307692307693]                                    0.933333  [0.9444444444444444, 0.9130434782608696, 0.9473684210526316]
W Optimal                                      0.75     [1.0, 0.0, 0.6666666666666666]                                  0.650000                                [1.0, 0.0, 0.6557377049180327]                                    0.766667                 [1.0, 0.7200000000000001, 0.5625000000000001]
Majority                                       1.00                    [1.0, 1.0, 1.0]                                  0.783333  [0.9743589743589743, 0.5517241379310345, 0.7692307692307693]                                    0.966667                 [1.0, 0.9545454545454545, 0.9473684210526316]
