MAPAL RESULTS

parkinsons-simulated-x
Budget : 0.4

Number of classes : 2


     index  train-micro-misclf-rate  test-micro-misclf-rate  train-macro-misclf-rate  test-macro-misclf-rate  n-labeled-samples  n-true-labels-0  n-false-labels-0  n-true-labels-1  n-false-labels-1  n-true-labels-2  n-false-labels-2  n-true-labels-3  n-false-labels-3  n-true-labels-4  n-false-labels-4  n-true-labels  n-false-labels     times
148    148                 0.102564                0.128205                 0.134615                0.213474                 84                8                 6               23                 8               34                 8               22                13               20                 6            107              41  0.013669
149    149                 0.102564                0.153846                 0.134615                0.231331                 84                8                 6               23                 8               34                 8               22                13               21                 6            108              41  0.010571
150    150                 0.094017                0.141026                 0.115385                0.208604                 84                8                 6               23                 8               35                 8               22                13               21                 6            109              41  0.010483
151    151                 0.102564                0.153846                 0.134615                0.231331                 84                8                 6               23                 8               35                 8               22                13               21                 7            109              42  0.010586
152    152                 0.102564                0.153846                 0.134615                0.231331                 84                8                 7               23                 8               35                 8               22                13               21                 7            109              43  0.010198
153    153                 0.111111                0.192308                 0.140110                0.258117                 84                8                 7               23                 8               35                 8               22                13               21                 8            109              44  0.010227
154    154                 0.111111                0.192308                 0.140110                0.258117                 85                8                 7               24                 8               35                 8               22                13               21                 8            110              44  0.010358
155    155                 0.111111                0.192308                 0.140110                0.258117                 86                8                 7               24                 8               35                 9               22                13               21                 8            110              45  0.009937
156    156                 0.111111                0.192308                 0.140110                0.258117                 86                8                 7               24                 9               35                 9               22                13               21                 8            110              46  0.009898
157    157                 0.111111                0.205128                 0.140110                0.280844                 86                8                 7               24                 9               35                 9               23                13               21                 8            111              46  0.009944
158    158                 0.119658                0.205128                 0.145604                0.280844                 86                8                 7               24                 9               35                 9               23                14               21                 8            111              47  0.009991
159    159                 0.111111                0.205128                 0.140110                0.280844                 86                8                 7               24                 9               35                 9               23                14               22                 8            112              47  0.009983
160    160                 0.111111                0.205128                 0.140110                0.280844                 86                9                 7               24                 9               35                 9               23                14               22                 8            113              47  0.009848
161    161                 0.111111                0.205128                 0.140110                0.280844                 86                9                 7               24                 9               36                 9               23                14               22                 8            114              47  0.009833
162    162                 0.111111                0.205128                 0.140110                0.280844                 86                9                 7               24                 9               36                10               23                14               22                 8            114              48  0.009736
163    163                 0.111111                0.205128                 0.140110                0.280844                 87                9                 7               24                 9               37                10               23                14               22                 8            115              48  0.009854
164    164                 0.111111                0.217949                 0.140110                0.303571                 88                9                 7               25                 9               37                10               23                14               22                 8            116              48  0.010200
165    165                 0.111111                0.217949                 0.140110                0.303571                 89                9                 7               25                 9               38                10               23                14               22                 8            117              48  0.009889
166    166                 0.111111                0.230769                 0.140110                0.326299                 90                9                 7               26                 9               38                10               23                14               22                 8            118              48  0.013271
167    167                 0.102564                0.256410                 0.134615                0.371753                 91                9                 7               27                 9               38                10               23                14               22                 8            119              48  0.009758
168    168                 0.111111                0.256410                 0.153846                0.371753                 91                9                 7               27                 9               39                10               23                14               22                 8            120              48  0.010009
169    169                 0.111111                0.256410                 0.153846                0.371753                 91                9                 7               27                 9               39                10               24                14               22                 8            121              48  0.010267
170    170                 0.111111                0.230769                 0.153846                0.326299                 91                9                 7               28                 9               39                10               24                14               22                 8            122              48  0.010009
171    171                 0.111111                0.230769                 0.153846                0.326299                 92                9                 7               28                 9               40                10               24                14               22                 8            123              48  0.009656
172    172                 0.111111                0.230769                 0.153846                0.326299                 93                9                 7               29                 9               40                10               24                14               22                 8            124              48  0.009950
173    173                 0.111111                0.230769                 0.153846                0.326299                 93                9                 7               29                 9               40                10               25                14               22                 8            125              48  0.009774
174    174                 0.111111                0.243590                 0.153846                0.349026                 94                9                 7               29                 9               40                10               25                14               23                 8            126              48  0.009616
175    175                 0.111111                0.243590                 0.153846                0.349026                 95                9                 7               29                 9               40                11               25                14               23                 8            126              49  0.009124
176    176                 0.111111                0.243590                 0.153846                0.349026                 95                9                 7               29                 9               40                11               26                14               23                 8            127              49  0.009428
177    177                 0.111111                0.243590                 0.153846                0.349026                 95                9                 7               29                 9               40                11               27                14               23                 8            128              49  0.009630
178    178                 0.111111                0.243590                 0.153846                0.349026                 96                9                 7               29                 9               40                11               28                14               23                 8            129              49  0.009469
179    179                 0.111111                0.243590                 0.153846                0.349026                 96                9                 7               29                 9               40                11               29                14               23                 8            130              49  0.008825
180    180                 0.111111                0.243590                 0.153846                0.349026                 97                9                 7               29                 9               41                11               29                14               23                 8            131              49  0.008728
181    181                 0.111111                0.243590                 0.153846                0.349026                 97                9                 7               29                 9               41                11               29                15               23                 8            131              50  0.010596
182    182                 0.111111                0.243590                 0.153846                0.349026                 97                9                 7               30                 9               41                11               29                15               23                 8            132              50  0.015378
183    183                 0.111111                0.243590                 0.153846                0.349026                 97                9                 8               30                 9               41                11               29                15               23                 8            132              51  0.009396
184    184                 0.119658                0.256410                 0.159341                0.357955                 97                9                 8               30                 9               42                11               29                15               23                 8            133              51  0.008802
185    185                 0.119658                0.256410                 0.159341                0.357955                 97                9                 8               30                 9               42                11               29                15               23                 9            133              52  0.008191
186    186                 0.119658                0.256410                 0.159341                0.357955                 98                9                 8               30                 9               42                11               29                15               24                 9            134              52  0.008375
187    187                 0.119658                0.256410                 0.159341                0.357955                 98               10                 8               30                 9               42                11               29                15               24                 9            135              52  0.008266
188    188                 0.119658                0.256410                 0.159341                0.357955                 98               10                 8               30                 9               42                11               30                15               24                 9            136              52  0.011547
189    189                 0.119658                0.217949                 0.159341                0.289773                 98               10                 8               30                 9               42                11               31                15               24                 9            137              52  0.008562
190    190                 0.119658                0.217949                 0.159341                0.289773                 98               10                 8               30                10               42                11               31                15               24                 9            137              53  0.008412
191    191                 0.119658                0.217949                 0.159341                0.289773                 98               10                 8               30                10               42                11               32                15               24                 9            138              53  0.008507
192    192                 0.119658                0.217949                 0.159341                0.289773                 98               10                 8               30                10               42                11               33                15               24                 9            139              53  0.008060
193    193                 0.119658                0.217949                 0.159341                0.289773                 98               10                 8               30                10               43                11               33                15               24                 9            140              53  0.007774
194    194                 0.119658                0.217949                 0.159341                0.289773                 98               10                 8               30                10               43                11               33                15               25                 9            141              53  0.008422
195    195                 0.119658                0.217949                 0.159341                0.289773                 98               10                 8               30                10               43                11               34                15               25                 9            142              53  0.007482
196    196                 0.119658                0.217949                 0.159341                0.289773                 99               10                 8               30                10               43                11               34                15               25                10            142              54  0.007536
197    197                 0.119658                0.217949                 0.159341                0.289773                 99               10                 8               31                10               43                11               34                15               25                10            143              54  0.008120
198    198                 0.119658                0.217949                 0.159341                0.289773                 99               10                 8               31                10               43                11               34                15               26                10            144              54  0.008146
199    199                 0.119658                0.217949                 0.159341                0.289773                 99               10                 8               31                10               43                11               34                15               27                10            145              54  0.007957
200    200                 0.119658                0.217949                 0.159341                0.289773                 99               10                 8               31                10               43                11               35                15               27                10            146              54  0.009118
201    201                 0.111111                0.230769                 0.153846                0.312500                 99               10                 8               31                10               44                11               35                15               27                10            147              54  0.008010
202    202                 0.111111                0.217949                 0.153846                0.289773                 99               10                 8               32                10               44                11               35                15               27                10            148              54  0.008040
203    203                 0.119658                0.205128                 0.159341                0.267045                 99               10                 9               32                10               44                11               35                15               27                10            148              55  0.008068
204    204                 0.119658                0.205128                 0.159341                0.267045                100               10                 9               33                10               44                11               35                15               27                10            149              55  0.007448
